PERSON_ID,EMPLOYEE_NUMBER,EFFECTIVE_START_DATE,EFFECTIVE_END_DATE,PERSON_TYPE_ID,FIRST_NAME,MIDDLE_NAMES,LAST_NAME,FULL_NAME,SUP_PERSON_ID,SUP_EMPLOYEE_NUMBER,SUP_START_DATE,SUP_END_DATE,SUP_PERSON_TYPE_ID,SUP_FIRST_NAME,SUP_MIDDLE_NAMES,SUP_LAST_NAME,SUP_FULL_NAME,START_DATE,APPLICANT_NUMBER,BACKGROUND_CHECK_STATUS,BACKGROUND_DATE_CHECK,BLOOD_TYPE,CORRESPONDENCE_LANGUAGE,CURRENT_APPLICANT_FLAG,CURRENT_EMP_OR_APL_FLAG,CURRENT_EMPLOYEE_FLAG,DATE_EMPLOYEE_DATA_VERIFIED,EMAIL_ADDRESS,MARITAL_STATUS,NATIONALITY,PREVIOUS_LAST_NAME,PROJECTED_START_DATE,REHIRE_AUTHORIZOR,REHIRE_REASON,REHIRE_RECOMMENDATION,SEX,LAST_UPDATE_DATE,LAST_UPDATED_BY,CREATION_DATE,CREATED_BY,OBJECT_VERSION_NUMBER,DATE_OF_DEATH,ORIGINAL_DATE_OF_HIRE,TOWN_OF_BIRTH,REGION_OF_BIRTH,COUNTRY_OF_BIRTH,PARTY_ID,GLOBAL_NAME,LOCAL_NAME,APPROVAL_LIMIT,JOB_NAME,COST_CENTER,BRAND,GEO,CHANNEL,GL_STRING,ATTRIBUTE_CATEGORY,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,ATTRIBUTE6,ATTRIBUTE7,ATTRIBUTE8,ATTRIBUTE9,ATTRIBUTE10
20322,232322,3/21/2011 0:00,12/31/4712 0:00,6,Kimberlie,,Hermaine,"Hermann-Jasaitis, Kimberlie",318,5859,10/28/2013 0:00,12/31/4712 0:00,6,Jeremy,,Bass,"Bass, Jeremy",3/21/2011 0:00,,,3/21/2011 0:00,,,,Y,Y,3/21/2011 0:00,kimberlie.jasaitiskksmat1342@gmail.com,,,,3/21/2011 0:00,,,,M,6/28/2016 11:47,1876,4/1/2016 12:02,1770,5,6/28/2016 11:47,3/21/2011 0:00,,,,12557740,Kimberlie,Hermaine,25000,M20233,2685,1000,10112,210001,100.1,,,,,,,,,,,
2233,323232,5/6/2010 0:00,12/31/4712 0:00,6,Yuhong Wei,,Zhao,"Zhao, Yuhong",318,5859,10/28/2013 0:00,12/31/4712 0:00,6,Jeremy,,Bass,"Bass, Jeremy",5/6/2010 0:00,,,3/21/2011 0:00,,,,Y,Y,3/21/2011 0:00,gloria.zhaokksmat1342@gmail.com,,,,3/21/2011 0:00,,,,M,6/28/2016 11:47,1876,4/1/2016 12:04,1770,5,6/28/2016 11:47,5/6/2010 0:00,,,,12575766,Yuhong Wei,Zhao,250000,M20233,2600,1000,10112,210001,100.1,,,,,,,,,,,
2223,2323232,4/10/2017 0:00,12/31/4712 0:00,6,Erik,,Norton,"Norton, Erik",318,5859,10/28/2013 0:00,12/31/4712 0:00,6,Jeremy,,Bass,"Bass, Jeremy",4/10/2017 0:00,,,3/21/2011 0:00,,,,Y,Y,3/21/2011 0:00,erik.nornkksmat1342@gmail.com,,,,3/21/2011 0:00,,,,M,3/6/2024 9:40,1827,4/10/2017 20:00,1876,7,6/28/2016 11:47,4/10/2017 0:00,,,,12559328,Erik,Norton,25000,M20233,2685,1000,10112,210001,100.1,,,,,,,,,,,
4354,2323232,5/7/2018 0:00,12/31/4712 0:00,6,Samuel,,Morton,"Smith, Samuel",318,5859,10/28/2013 0:00,12/31/4712 0:00,6,Jeremy,,Bass,"Bass, Jeremy",5/7/2018 0:00,,,3/21/2011 0:00,,,,Y,Y,3/21/2011 0:00,sam.smihkksmat1342@gmail.com,,,,3/21/2011 0:00,,,,M,5/7/2018 20:00,1876,5/7/2018 20:00,1876,3,6/28/2016 11:47,5/7/2018 0:00,,,,12601151,Samuel,Morton,1000,M20233,2685,1000,10112,210001,100.1,,,,,,,,,,,
2432,232323,5/24/2021 0:00,12/31/4712 0:00,6,Phoebe,,Helen,"He, Phoebe",318,5859,10/28/2013 0:00,12/31/4712 0:00,6,Jeremy,,Bass,"Bass, Jeremy",5/24/2021 0:00,,,3/21/2011 0:00,,,,Y,Y,3/21/2011 0:00,phoebe.he@hoka.com,,,,3/21/2011 0:00,,,,M,2/3/2022 20:01,1876,5/24/2021 20:00,1876,4,6/28/2016 11:47,5/24/2021 0:00,,,,12727433,Phoebe,Helen,50000,M20233,2685,1000,10112,210001,100.1,,,,,,,,,,,
2432,233232,4/10/2017 0:00,12/31/4712 0:00,6,Erik,,Norton,"Norton, Erik",318,5859,10/28/2013 0:00,12/31/4712 0:00,6,Jeremy,,Bass,"Bass, Jeremy",4/10/2017 0:00,,,3/21/2011 0:00,,,,Y,Y,3/21/2011 0:00,erik.nortonkksmat1342@gmail.com,,,,3/21/2011 0:00,,,,M,3/6/2024 9:40,1827,4/10/2017 20:00,1876,7,6/28/2016 11:47,4/10/2017 0:00,,,,18059328,Erik,Norton,25000,M20233,2685,1000,10112,210001,100.1,,,,,,,,,,,
2234,2323232,10/2/2006 0:00,12/31/4712 0:00,6,Gerard,,Marcedalaas,"Marceda, Gerard",359,6738,2/3/2014 0:00,12/31/4712 0:00,6,Amy,,Greenfield,"Greenfield, Amy",10/2/2006 0:00,,,3/21/2011 0:00,,,,Y,Y,3/21/2011 0:00,gmarcedakksmat1342@gmail.com,,,,3/21/2011 0:00,,,,M,6/28/2016 11:47,1876,4/1/2016 12:01,1770,5,6/28/2016 11:47,10/2/2006 0:00,,,,12773533,Gerard,Marcedalaas,2000,M20233,7001,1000,10112,210001,100.1,,,,,,,,,,,
234,232323,12/17/2007 0:00,12/31/4712 0:00,6,Shaina,,Norton,"Groves, Shaina",359,6738,2/3/2014 0:00,12/31/4712 0:00,6,Amy,,Greenfield,"Greenfield, Amy",12/17/2007 0:00,,,3/21/2011 0:00,,,,Y,Y,3/21/2011 0:00,shaina.groveskksmat1342@gmail.com,,,,3/21/2011 0:00,,,,M,9/7/2016 20:00,1876,4/1/2016 12:03,1770,7,6/28/2016 11:47,12/17/2007 0:00,,,,12575117,Shaina,Norton,250000,M20233,4202,64002,10112,210001,100.1,,,,,,,,,,,
3343,233232,7/11/2016 0:00,12/31/4712 0:00,6,Tracy,,Helen,"Paoletti, Tracy",359,6738,2/3/2014 0:00,12/31/4712 0:00,6,Amy,,Greenfield,"Greenfield, Amy",7/11/2016 0:00,,,3/21/2011 0:00,,,,Y,Y,3/21/2011 0:00,tracy.paolettikksmat1342@gmail.com,,,,3/21/2011 0:00,,,,M,7/13/2016 20:00,1876,7/13/2016 20:00,1876,3,6/28/2016 11:47,7/11/2016 0:00,,,,12569976,Tracy,Helen,100000,M20233,4201,64232,10112,210001,100.1,,,,,,,,,,,
2112,232323,4/24/2017 0:00,12/31/4712 0:00,6,Bryan,,Helen,"Riter, Bryan",359,6738,2/3/2014 0:00,12/31/4712 0:00,6,Amy,,Greenfield,"Greenfield, Amy",4/24/2017 0:00,,,3/21/2011 0:00,,,,Y,Y,3/21/2011 0:00,bryan.riterkksmat1342@gmail.com,,,,3/21/2011 0:00,,,,M,4/27/2017 20:00,1876,4/27/2017 20:00,1876,3,6/28/2016 11:47,4/24/2017 0:00,,,,12110117,Bryan,Helen,250000,M20233,4302,1000,10112,210001,100.1,,,,,,,,,,,
